"origin","destination","distance","time"
"52.4051070001368, 13.134430863293","52.5076615, 13.454537",33825,5002
"52.4051070001368, 13.134430863293","52.5121441, 13.3083771",22057,3274
"52.4051070001368, 13.134430863293","52.5087884, 13.378434",24052,3660
"52.4051070001368, 13.134430863293","52.5019061, 13.3308361",20531,3059
"52.4051070001368, 13.134430863293","52.5088651, 13.2707514",20569,3837
"52.4051070001368, 13.134430863293","52.5264743, 13.39691",26767,4284
"52.4051070001368, 13.134430863293","52.5106807, 13.419484",31680,4831
"52.4051070001368, 13.134430863293","52.4602228, 13.5056519",39684,6242
"52.4051070001368, 13.134430863293","52.474199, 13.141735",29858,6435
"52.4051070001368, 13.134430863293","52.5021802, 13.364582",25364,4444
"52.4051070001368, 13.134430863293","52.5205791, 13.4089041",26758,3402
"52.4051070001368, 13.134430863293","52.4986678, 13.3566505",22066,3520
"52.4051070001368, 13.134430863293","52.520848, 13.4084747",26761,3404
"52.4051070001368, 13.134430863293","52.49694, 13.4540533",33275,4829
"52.4051070001368, 13.134430863293","52.4840199, 13.4053429",23955,4645
"52.4051070001368, 13.134430863293","52.5049039, 13.4431471",33892,5063
"52.4051070001368, 13.134430863293","52.524042, 13.402083",29504,4203
"52.4051070001368, 13.134430863293","52.5071871, 13.390676",24043,4045
"52.4051070001368, 13.134430863293","52.4583565, 13.2889441",15624,3777
"52.4051070001368, 13.134430863293","52.5112074, 13.4169157",31407,4605
"52.4051070001368, 13.134430863293","52.440493, 13.3911183",23483,4466
"52.4028713045399, 13.2562057487655","52.5075075, 13.3903737",17705,2714
"52.4028713045399, 13.2562057487655","52.5542753, 13.3785425",24437,3704
"52.4028713045399, 13.2562057487655","52.5063, 13.3840159",17184,2532
"52.4028713045399, 13.2562057487655","52.5206458, 13.2932877",23137,3826
"52.4028713045399, 13.2562057487655","52.5239216, 13.3888786",19548,2831
"52.4028713045399, 13.2562057487655","52.5168416, 13.3816742",18624,2483
"52.4028713045399, 13.2562057487655","52.5040556, 13.3379413",18286,3391
"52.4028713045399, 13.2562057487655","52.5090125, 13.3792937",17743,2483
"52.4028713045399, 13.2562057487655","52.4983661, 13.3605076",16490,3005
"52.4028713045399, 13.2562057487655","52.5478117, 13.3892456",23471,3175
"52.4028713045399, 13.2562057487655","52.5046782, 13.4490212",24496,3643
"52.4028713045399, 13.2562057487655","52.5136642, 13.4727613",25344,3564
"52.4028713045399, 13.2562057487655","52.5016098, 13.381181",16883,2291
"52.4028713045399, 13.2562057487655","52.5214137, 13.4034811",20515,3117
"52.4028713045399, 13.2562057487655","52.5176913, 13.4419715",23253,3795
"52.4028713045399, 13.2562057487655","52.517699, 13.3970326",19773,3337
"52.4028713045399, 13.2562057487655","52.5303108, 13.3186121",27585,4288
"52.4028713045399, 13.2562057487655","52.5146378, 13.3905283",19119,3021
"52.4028713045399, 13.2562057487655","52.5145186, 13.487322",26507,4436
"52.4028713045399, 13.2562057487655","52.5170316, 13.4012274",20232,3289
"52.4028713045399, 13.2562057487655","52.5207714, 13.3889021",19293,2643
"52.4028713045399, 13.2562057487655","52.5027268, 13.4453492",24896,3977
"52.4028713045399, 13.2562057487655","52.5284267, 13.3720175",20898,3302
"52.4028713045399, 13.2562057487655","52.5209131, 13.3871461",19161,2547
"52.4028713045399, 13.2562057487655","52.5304903, 13.3791152",21527,3345
"52.4028713045399, 13.2562057487655","52.4864896, 13.4217418",20188,3430
"52.4028713045399, 13.2562057487655","52.5215057, 13.4069139",21272,3339
"52.4028713045399, 13.2562057487655","52.5174377, 13.3898033",18979,2836
"52.4028713045399, 13.2562057487655","52.5111669, 13.4430356",25151,4178
"52.4028713045399, 13.2562057487655","52.5076615, 13.454537",24841,3913
"52.4028713045399, 13.2562057487655","52.5121441, 13.3083771",22294,3577
"52.4028713045399, 13.2562057487655","52.5087884, 13.378434",17680,2451
"52.4028713045399, 13.2562057487655","52.5019061, 13.3308361",15828,2641
"52.4028713045399, 13.2562057487655","52.5088651, 13.2707514",26832,4205
"52.4028713045399, 13.2562057487655","52.5264743, 13.39691",20395,3075
"52.4028713045399, 13.2562057487655","52.5106807, 13.419484",22696,3742
"52.4028713045399, 13.2562057487655","52.4602228, 13.5056519",33664,4499
"52.4028713045399, 13.2562057487655","52.474199, 13.141735",44779,7476
"52.4028713045399, 13.2562057487655","52.5021802, 13.364582",18992,3325
"52.4028713045399, 13.2562057487655","52.5205791, 13.4089041",21166,3231
"52.4028713045399, 13.2562057487655","52.4986678, 13.3566505",16771,3255
"52.4028713045399, 13.2562057487655","52.520848, 13.4084747",21169,3233
"52.4028713045399, 13.2562057487655","52.49694, 13.4540533",23291,3804
"52.4028713045399, 13.2562057487655","52.4840199, 13.4053429",17067,3582
"52.4028713045399, 13.2562057487655","52.5049039, 13.4431471",24908,3974
"52.4028713045399, 13.2562057487655","52.524042, 13.402083",20520,3114
"52.4028713045399, 13.2562057487655","52.5071871, 13.390676",17668,2686
"52.4028713045399, 13.2562057487655","52.4583565, 13.2889441",14488,3078
"52.4028713045399, 13.2562057487655","52.5112074, 13.4169157",22423,3516
"52.4028713045399, 13.2562057487655","52.440493, 13.3911183",12894,3267
"52.4489179245087, 13.1638728947828","52.5075075, 13.3903737",31520,8666
"52.4489179245087, 13.1638728947828","52.5542753, 13.3785425",36322,8865
"52.4489179245087, 13.1638728947828","52.5063, 13.3840159",28449,8725
"52.4489179245087, 13.1638728947828","52.5206458, 13.2932877",28422,8486
"52.4489179245087, 13.1638728947828","52.5239216, 13.3888786",30181,7846
"52.4489179245087, 13.1638728947828","52.5168416, 13.3816742",30428,8056
"52.4489179245087, 13.1638728947828","52.5040556, 13.3379413",25414,7445
"52.4489179245087, 13.1638728947828","52.5090125, 13.3792937",29005,8694
"52.4489179245087, 13.1638728947828","52.4983661, 13.3605076",27490,7921
"52.4489179245087, 13.1638728947828","52.5478117, 13.3892456",32680,8056
"52.4489179245087, 13.1638728947828","52.5046782, 13.4490212",34817,8954
"52.4489179245087, 13.1638728947828","52.5136642, 13.4727613",37832,8785
"52.4489179245087, 13.1638728947828","52.5016098, 13.381181",28148,8484
"52.4489179245087, 13.1638728947828","52.5214137, 13.4034811",30836,8428
"52.4489179245087, 13.1638728947828","52.5176913, 13.4419715",34104,8956
"52.4489179245087, 13.1638728947828","52.517699, 13.3970326",30622,8196
"52.4489179245087, 13.1638728947828","52.5303108, 13.3186121",28302,8789
"52.4489179245087, 13.1638728947828","52.5146378, 13.3905283",30413,8050
"52.4489179245087, 13.1638728947828","52.5145186, 13.487322",37358,9597
"52.4489179245087, 13.1638728947828","52.5170316, 13.4012274",32996,8332
"52.4489179245087, 13.1638728947828","52.5207714, 13.3889021",29854,7579
"52.4489179245087, 13.1638728947828","52.5027268, 13.4453492",35217,9288
"52.4489179245087, 13.1638728947828","52.5284267, 13.3720175",28787,7684
"52.4489179245087, 13.1638728947828","52.5209131, 13.3871461",29761,7501
"52.4489179245087, 13.1638728947828","52.5304903, 13.3791152",29344,8001
"52.4489179245087, 13.1638728947828","52.4864896, 13.4217418",36370,8891
"52.4489179245087, 13.1638728947828","52.5215057, 13.4069139",31754,7912
"52.4489179245087, 13.1638728947828","52.5174377, 13.3898033",30131,7799
"52.4489179245087, 13.1638728947828","52.5111669, 13.4430356",34580,8681
"52.4489179245087, 13.1638728947828","52.5076615, 13.454537",35162,9224
"52.4489179245087, 13.1638728947828","52.5121441, 13.3083771",26947,7676
"52.4489179245087, 13.1638728947828","52.5087884, 13.378434",28942,8662
"52.4489179245087, 13.1638728947828","52.5019061, 13.3308361",25421,7461
"52.4489179245087, 13.1638728947828","52.5088651, 13.2707514",29655,8166
"52.4489179245087, 13.1638728947828","52.5264743, 13.39691",31034,8536
"52.4489179245087, 13.1638728947828","52.5106807, 13.419484",33180,8491
"52.4489179245087, 13.1638728947828","52.4602228, 13.5056519",44574,10644
"52.4489179245087, 13.1638728947828","52.474199, 13.141735",48020,10777
"52.4489179245087, 13.1638728947828","52.5021802, 13.364582",27877,8234
"52.4489179245087, 13.1638728947828","52.5205791, 13.4089041",31648,7804
"52.4489179245087, 13.1638728947828","52.4986678, 13.3566505",26956,7922
"52.4489179245087, 13.1638728947828","52.520848, 13.4084747",31651,7806
"52.4489179245087, 13.1638728947828","52.49694, 13.4540533",38165,9411
"52.4489179245087, 13.1638728947828","52.4840199, 13.4053429",28845,9647
"52.4489179245087, 13.1638728947828","52.5049039, 13.4431471",34607,8720
"52.4489179245087, 13.1638728947828","52.524042, 13.402083",30841,8425
"52.4489179245087, 13.1638728947828","52.5071871, 13.390676",31482,8636
"52.4489179245087, 13.1638728947828","52.4583565, 13.2889441",21325,8779
"52.4489179245087, 13.1638728947828","52.5112074, 13.4169157",33015,8351
"52.4489179245087, 13.1638728947828","52.440493, 13.3911183",28379,9367
"52.4466627803954, 13.285739287855","52.5075075, 13.3903737",11139,2547
"52.4466627803954, 13.285739287855","52.5542753, 13.3785425",17868,3537
"52.4466627803954, 13.285739287855","52.5063, 13.3840159",10618,2197
"52.4466627803954, 13.285739287855","52.5206458, 13.2932877",10971,2585
"52.4466627803954, 13.285739287855","52.5239216, 13.3888786",12979,2514
"52.4466627803954, 13.285739287855","52.5168416, 13.3816742",12055,2166
"52.4466627803954, 13.285739287855","52.5040556, 13.3379413",10503,2589
"52.4466627803954, 13.285739287855","52.5090125, 13.3792937",11175,2166
"52.4466627803954, 13.285739287855","52.4983661, 13.3605076",8693,2139
"52.4466627803954, 13.285739287855","52.5478117, 13.3892456",16902,2852
"52.4466627803954, 13.285739287855","52.5046782, 13.4490212",17927,3476
"52.4466627803954, 13.285739287855","52.5136642, 13.4727613",19980,3362
"52.4466627803954, 13.285739287855","52.5016098, 13.381181",10317,1956
"52.4466627803954, 13.285739287855","52.5214137, 13.4034811",13946,2650
"52.4466627803954, 13.285739287855","52.5176913, 13.4419715",16684,3628
"52.4466627803954, 13.285739287855","52.517699, 13.3970326",13523,2980
"52.4466627803954, 13.285739287855","52.5303108, 13.3186121",12380,3029
"52.4466627803954, 13.285739287855","52.5146378, 13.3905283",13350,2642
"52.4466627803954, 13.285739287855","52.5145186, 13.487322",19938,4269
"52.4466627803954, 13.285739287855","52.5170316, 13.4012274",14383,3005
"52.4466627803954, 13.285739287855","52.5207714, 13.3889021",12724,2326
"52.4466627803954, 13.285739287855","52.5027268, 13.4453492",18327,3810
"52.4466627803954, 13.285739287855","52.5284267, 13.3720175",16440,3018
"52.4466627803954, 13.285739287855","52.5209131, 13.3871461",12592,2230
"52.4466627803954, 13.285739287855","52.5304903, 13.3791152",14959,3028
"52.4466627803954, 13.285739287855","52.4864896, 13.4217418",13579,3228
"52.4466627803954, 13.285739287855","52.5215057, 13.4069139",14703,2872
"52.4466627803954, 13.285739287855","52.5174377, 13.3898033",12410,2519
"52.4466627803954, 13.285739287855","52.5111669, 13.4430356",17546,3676
"52.4466627803954, 13.285739287855","52.5076615, 13.454537",18272,3746
"52.4466627803954, 13.285739287855","52.5121441, 13.3083771",9162,2156
"52.4466627803954, 13.285739287855","52.5087884, 13.378434",11112,2134
"52.4466627803954, 13.285739287855","52.5019061, 13.3308361",8235,1937
"52.4466627803954, 13.285739287855","52.5088651, 13.2707514",11091,2765
"52.4466627803954, 13.285739287855","52.5264743, 13.39691",13826,2758
"52.4466627803954, 13.285739287855","52.5106807, 13.419484",16127,3275
"52.4466627803954, 13.285739287855","52.4602228, 13.5056519",22072,4755
"52.4466627803954, 13.285739287855","52.474199, 13.141735",30089,5875
"52.4466627803954, 13.285739287855","52.5021802, 13.364582",9441,2371
"52.4466627803954, 13.285739287855","52.5205791, 13.4089041",14597,2764
"52.4466627803954, 13.285739287855","52.4986678, 13.3566505",8926,2311
"52.4466627803954, 13.285739287855","52.520848, 13.4084747",14600,2766
"52.4466627803954, 13.285739287855","52.49694, 13.4540533",17927,3602
"52.4466627803954, 13.285739287855","52.4840199, 13.4053429",10800,3024
"52.4466627803954, 13.285739287855","52.5049039, 13.4431471",18339,3807
"52.4466627803954, 13.285739287855","52.524042, 13.402083",13951,2647
"52.4466627803954, 13.285739287855","52.5071871, 13.390676",11102,2519
"52.4466627803954, 13.285739287855","52.4583565, 13.2889441",1896,997
"52.4466627803954, 13.285739287855","52.5112074, 13.4169157",15854,3049
"52.4466627803954, 13.285739287855","52.440493, 13.3911183",12107,2862
"52.4383875316811, 13.1925910431348","52.5075075, 13.3903737",19385,3598
"52.4383875316811, 13.1925910431348","52.5542753, 13.3785425",22226,4066
"52.4383875316811, 13.1925910431348","52.5063, 13.3840159",18864,3248
"52.4383875316811, 13.1925910431348","52.5206458, 13.2932877",14168,2917
"52.4383875316811, 13.1925910431348","52.5239216, 13.3888786",20311,3095
"52.4383875316811, 13.1925910431348","52.5168416, 13.3816742",20301,3217
"52.4383875316811, 13.1925910431348","52.5040556, 13.3379413",15367,2702
"52.4383875316811, 13.1925910431348","52.5090125, 13.3792937",19420,3217
"52.4383875316811, 13.1925910431348","52.4983661, 13.3605076",17405,3111
"52.4383875316811, 13.1925910431348","52.5478117, 13.3892456",22314,3208
"52.4383875316811, 13.1925910431348","52.5046782, 13.4490212",25132,3544
"52.4383875316811, 13.1925910431348","52.5136642, 13.4727613",29834,4012
"52.4383875316811, 13.1925910431348","52.5016098, 13.381181",18563,3007
"52.4383875316811, 13.1925910431348","52.5214137, 13.4034811",21151,3018
"52.4383875316811, 13.1925910431348","52.5176913, 13.4419715",24221,4146
"52.4383875316811, 13.1925910431348","52.517699, 13.3970326",21787,3518
"52.4383875316811, 13.1925910431348","52.5303108, 13.3186121",18617,3379
"52.4383875316811, 13.1925910431348","52.5146378, 13.3905283",20553,3330
"52.4383875316811, 13.1925910431348","52.5145186, 13.487322",29914,4847
"52.4383875316811, 13.1925910431348","52.5170316, 13.4012274",21752,3519
"52.4383875316811, 13.1925910431348","52.5207714, 13.3889021",19978,2832
"52.4383875316811, 13.1925910431348","52.5027268, 13.4453492",25532,3878
"52.4383875316811, 13.1925910431348","52.5284267, 13.3720175",18917,3007
"52.4383875316811, 13.1925910431348","52.5209131, 13.3871461",19847,2775
"52.4383875316811, 13.1925910431348","52.5304903, 13.3791152",21581,3469
"52.4383875316811, 13.1925910431348","52.4864896, 13.4217418",23989,3781
"52.4383875316811, 13.1925910431348","52.5215057, 13.4069139",21908,3240
"52.4383875316811, 13.1925910431348","52.5174377, 13.3898033",20271,3071
"52.4383875316811, 13.1925910431348","52.5111669, 13.4430356",25787,4079
"52.4383875316811, 13.1925910431348","52.5076615, 13.454537",25477,3814
"52.4383875316811, 13.1925910431348","52.5121441, 13.3083771",13910,2728
"52.4383875316811, 13.1925910431348","52.5087884, 13.378434",19357,3185
"52.4383875316811, 13.1925910431348","52.5019061, 13.3308361",15298,2640
"52.4383875316811, 13.1925910431348","52.5088651, 13.2707514",13151,2737
"52.4383875316811, 13.1925910431348","52.5264743, 13.39691",21803,3536
"52.4383875316811, 13.1925910431348","52.5106807, 13.419484",23333,3643
